zone,borough,trip_count,avg_tip,tip_percentage,avg_fare,fare_to_tip_ratio,zone_category
Midwood,Brooklyn,506,3.75,18.61,23.34,7.65,Residential,1
Marble Hill,Manhattan,73,3.76,25.6,18.39,6.26,Residential,1
Jamaica,Queens,721,3.77,19.83,20.72,11.36,Residential,1
Saint George/New Brighton,Staten Island,301,3.78,22.88,19.15,6.44,Residential,1
East Flatbush/Farragut,Brooklyn,378,3.82,19.83,21.75,7.07,Residential,1
Co-Op City,Bronx,341,3.85,19.3,21.45,14.99,Residential,1
East Concourse/Concourse Village,Bronx,350,3.98,21.47,20.59,10.81,Residential,1
Woodhaven,Queens,313,4.01,20.5,21.78,6.75,Residential,1
Rosedale,Queens,135,4.02,23.34,19.92,6.22,Residential,1
Forest Park/Highland Park,Queens,14,4.02,16.43,26.6,7.47,Residential,1
Starrett City,Brooklyn,65,4.03,18.61,24.27,6.92,Residential,1
Oakwood,Staten Island,78,4.04,22.57,21.17,6.04,Residential,1
Williamsbridge/Olinville,Bronx,305,4.06,20.38,23.25,7.14,Residential,1
Belmont,Bronx,254,4.12,21.83,21.23,6.48,Residential,1
Hillcrest/Pomonok,Queens,279,4.13,20.28,22.45,6.65,Residential,1
Central Harlem North,Manhattan,1059,4.15,20.39,21.67,7.93,Residential,1
Flushing,Queens,844,4.2,20.47,22.68,6.56,Residential,1
Oakland Gardens,Queens,163,4.2,20.14,23.05,6.44,Residential,1
South Beach/Dongan Hills,Staten Island,169,4.22,22.53,21.17,6.32,Residential,1
Greenpoint,Brooklyn,1844,4.22,20.22,22.1,6.43,Residential,1
Kew Gardens,Queens,440,4.26,21.18,21.51,6.35,Residential,1
Steinway,Queens,1036,4.27,21.71,21.2,6.62,Residential,1
Jamaica Estates,Queens,215,4.28,22.15,23.3,6.92,Residential,1
Stapleton,Staten Island,164,4.29,23.76,20.22,19.01,Residential,1
Long Island City/Queens Plaza,Queens,511,4.29,20.38,23.06,7.71,Residential,1
Hammels/Arverne,Queens,110,4.3,23.35,23.68,6.75,Residential,1
Fort Greene,Brooklyn,1120,4.31,19.83,23.57,6.7,Residential,1
Inwood,Manhattan,392,4.36,20.67,22.64,6.35,Residential,1
Bayside,Queens,427,4.4,21.69,23.91,10.0,Residential,1
Glen Oaks,Queens,161,4.44,19.94,24.03,6.65,Residential,1
Prospect Heights,Brooklyn,817,4.51,20.17,23.9,6.51,Residential,1
Bay Ridge,Brooklyn,1199,4.52,22.52,22.63,6.08,Residential,1
Brooklyn Navy Yard,Brooklyn,157,4.63,20.56,24.51,6.08,Residential,1
Downtown Brooklyn/MetroTech,Brooklyn,898,4.66,19.94,25.83,11.18,Business,1
Columbia Street,Brooklyn,161,4.77,20.31,25.03,6.16,Residential,1
Great Kills,Staten Island,150,4.77,22.72,24.77,5.91,Residential,1
Cobble Hill,Brooklyn,434,4.85,20.9,25.67,6.11,Residential,1
Douglaston,Queens,158,4.88,21.73,25.04,6.29,Residential,1
East Harlem South,Manhattan,1134,4.89,21.62,25.4,5.99,Residential,1
Kips Bay,Manhattan,1088,4.97,21.03,24.59,5.97,Residential,1
DUMBO/Vinegar Hill,Brooklyn,683,4.98,18.65,27.64,8.73,Residential,1
Carroll Gardens,Brooklyn,647,5.01,20.69,26.42,6.25,Residential,1
Whitestone,Queens,204,5.14,21.63,24.85,6.25,Residential,1
Clinton West,Manhattan,1252,5.27,21.55,26.94,14.77,Residential,1
Lenox Hill East,Manhattan,1567,5.35,21.28,26.71,5.87,Residential,1
Astoria Park,Queens,1,5.36,24.88,21.54,4.02,Residential,1
Heartland Village/Todt Hill,Staten Island,188,5.37,21.69,28.28,5.97,Residential,1
Battery Park,Manhattan,29,5.73,19.98,30.93,6.42,Residential,1
Hudson Sq,Manhattan,811,5.76,20.89,29.53,6.11,Residential,1
West Chelsea/Hudson Yards,Manhattan,2846,5.85,20.46,30.69,6.07,Residential,1
Times Sq/Theatre District,Manhattan,4191,7.13,21.82,36.27,8.21,Tourist,1
Randalls Island,Manhattan,17,8.63,31.41,30.59,3.58,Residential,1
Eastchester,Bronx,179,3.63,19.93,21.08,7.38,Residential,7
Richmond Hill,Queens,405,3.65,20.1,21.21,7.04,Residential,7
Elmhurst/Maspeth,Queens,316,3.71,19.64,20.59,6.84,Residential,7
Van Cortlandt Village,Bronx,274,3.81,20.51,21.14,6.81,Residential,7
Soundview/Bruckner,Bronx,164,3.84,20.98,20.55,6.86,Residential,7
Soundview/Castle Hill,Bronx,338,3.85,21.73,19.92,6.52,Residential,7
Maspeth,Queens,458,3.86,20.87,20.72,6.7,Residential,7
Auburndale,Queens,191,3.87,21.58,20.91,6.53,Residential,7
East New York,Brooklyn,556,3.9,20.18,21.58,24.73,Residential,7
Glendale,Queens,360,3.91,20.46,20.93,6.52,Residential,7
Hollis,Queens,80,3.96,19.29,24.43,19.46,Residential,7
Corona,Queens,316,3.98,19.48,21.72,6.97,Residential,7
Bronxdale,Bronx,159,3.99,23.44,20.94,6.51,Residential,7
Pelham Parkway,Bronx,368,4.04,20.55,21.57,6.79,Residential,7
Crown Heights South,Brooklyn,529,4.04,19.87,22.87,6.88,Residential,7
Middle Village,Queens,410,4.1,21.46,21.07,6.18,Residential,7
Fresh Meadows,Queens,144,4.15,20.71,22.51,6.38,Residential,7
Madison,Brooklyn,333,4.27,22.79,21.48,6.28,Residential,7
Westchester Village/Unionport,Bronx,198,4.31,22.4,21.71,6.33,Residential,7
Schuylerville/Edgewater Park,Bronx,409,4.31,22.67,22.59,14.55,Residential,7
Bushwick North,Brooklyn,1407,4.32,20.38,23.12,8.22,Residential,7
Howard Beach,Queens,259,4.33,20.73,24.26,6.61,Residential,7
Old Astoria,Queens,678,4.34,22.08,21.48,6.47,Residential,7
Gowanus,Brooklyn,473,4.47,21.42,23.46,6.2,Residential,7
Grymes Hill/Clifton,Staten Island,107,4.5,23.02,21.49,6.5,Residential,7
Kensington,Brooklyn,355,4.52,19.8,24.99,6.68,Residential,7
Sunset Park East,Brooklyn,358,4.53,20.23,24.41,6.83,Residential,7
Clinton Hill,Brooklyn,1192,4.55,19.7,24.53,6.58,Residential,7
Manhattanville,Manhattan,324,4.58,21.79,23.33,26.24,Residential,7
Pelham Bay Park,Bronx,38,4.61,18.03,27.89,7.18,Residential,7
Far Rockaway,Queens,203,4.71,21.0,26.63,6.75,Residential,7
Bloomfield/Emerson Hill,Staten Island,239,4.75,21.99,23.78,6.21,Residential,7
Bay Terrace/Fort Totten,Queens,152,4.79,24.06,24.35,5.86,Residential,7
Park Slope,Brooklyn,2311,4.8,21.15,25.08,6.26,Residential,7
Hamilton Heights,Manhattan,714,4.88,21.01,25.2,6.23,Residential,7
Rossville/Woodrow,Staten Island,67,4.94,23.26,23.72,5.38,Residential,7
Charleston/Tottenville,Staten Island,113,4.94,21.31,27.94,7.35,Residential,7
Washington Heights North,Manhattan,827,5.01,21.28,25.54,6.61,Residential,7
Alphabet City,Manhattan,556,5.07,21.18,25.92,6.19,Residential,7
Two Bridges/Seward Park,Manhattan,840,5.22,20.07,27.88,6.3,Residential,7
Eltingville/Annadale/Prince's Bay,Staten Island,111,5.35,25.38,26.2,6.08,Residential,7
Yorkville East,Manhattan,811,5.42,20.9,27.29,5.96,Residential,7
Rockaway Park,Queens,287,5.43,22.22,29.44,9.47,Residential,7
Brooklyn Heights,Brooklyn,1202,5.49,19.68,29.82,6.37,Residential,7
Central Park,Manhattan,545,5.52,20.54,29.88,6.15,Residential,7
Greenwich Village South,Manhattan,1205,5.57,20.53,29.22,10.51,Residential,7
West Village,Manhattan,1849,5.6,20.8,29.19,6.07,Residential,7
Sutton Place/Turtle Bay North,Manhattan,1434,5.7,20.89,29.68,18.38,Residential,7
Yorkville West,Manhattan,1138,5.85,21.92,29.19,5.81,Residential,7
Manhattan Valley,Manhattan,654,5.92,21.62,29.53,6.51,Residential,7
Jamaica Bay,Queens,2,5.99,16.73,32.2,6.73,Residential,7
Meatpacking/West Village West,Manhattan,1391,6.01,19.87,32.0,6.27,Residential,7
SoHo,Manhattan,1198,6.16,20.53,31.93,9.42,Residential,7
Lincoln Square East,Manhattan,1893,6.19,21.5,31.48,8.28,Residential,7
Green-Wood Cemetery,Brooklyn,12,6.27,22.64,28.66,5.24,Residential,7
Midtown South,Manhattan,2858,6.46,20.92,33.27,7.48,Residential,7
Garment District,Manhattan,1658,6.79,20.26,36.16,14.76,Residential,7
Seaport,Manhattan,575,6.8,20.46,36.66,10.46,Residential,7
Battery Park City,Manhattan,1212,7.14,19.09,38.85,6.31,Residential,7
Financial District South,Manhattan,739,7.25,19.84,38.33,6.48,Business,7
Midtown North,Manhattan,2421,7.54,20.33,39.97,6.66,Residential,7
Midtown Center,Manhattan,3852,7.56,20.58,39.4,6.47,Residential,7
JFK Airport,Queens,5442,12.8,17.87,73.87,9.19,Airport,7
Pelham Bay Park,Bronx,25,3.25,15.41,21.05,8.98,Residential,11
Green-Wood Cemetery,Brooklyn,15,3.31,22.9,16.86,6.11,Residential,11
Bronxdale,Bronx,157,3.32,19.87,18.55,7.34,Residential,11
Elmhurst/Maspeth,Queens,330,3.46,20.36,19.38,14.62,Residential,11
Westchester Village/Unionport,Bronx,197,3.57,22.1,18.95,6.5,Residential,11
Richmond Hill,Queens,409,3.59,20.26,19.98,12.7,Residential,11
East New York,Brooklyn,498,3.7,20.87,20.21,21.62,Residential,11
Corona,Queens,278,3.75,20.76,20.28,6.73,Residential,11
Hollis,Queens,64,3.76,26.2,19.59,6.58,Residential,11
Middle Village,Queens,451,3.81,20.9,20.6,6.73,Residential,11
Madison,Brooklyn,353,3.83,21.86,20.36,8.99,Residential,11
Soundview/Bruckner,Bronx,174,3.87,20.86,20.23,6.56,Residential,11
Auburndale,Queens,186,3.88,20.98,20.79,6.54,Residential,11
Grymes Hill/Clifton,Staten Island,113,3.9,20.08,21.41,7.23,Residential,11
Eastchester,Bronx,174,3.95,21.08,22.23,6.94,Residential,11
Crown Heights South,Brooklyn,474,3.98,20.09,21.52,6.85,Residential,11
Sunset Park East,Brooklyn,410,4.06,21.28,21.77,6.69,Residential,11
Maspeth,Queens,537,4.09,19.6,23.17,10.8,Residential,11
Glendale,Queens,353,4.11,21.26,21.17,6.21,Residential,11
Van Cortlandt Village,Bronx,322,4.13,20.9,22.9,12.69,Residential,11
Bushwick North,Brooklyn,1502,4.14,20.2,22.43,6.66,Residential,11
Pelham Parkway,Bronx,385,4.15,20.04,23.06,8.65,Residential,11
Soundview/Castle Hill,Bronx,313,4.16,21.65,21.28,7.97,Residential,11
Manhattanville,Manhattan,321,4.17,20.64,22.15,6.63,Residential,11
Schuylerville/Edgewater Park,Bronx,345,4.28,22.39,22.41,8.58,Residential,11
Old Astoria,Queens,648,4.3,20.72,22.63,6.52,Residential,11
Kensington,Brooklyn,393,4.36,20.36,23.14,6.55,Residential,11
Far Rockaway,Queens,185,4.45,23.26,24.47,6.63,Residential,11
Howard Beach,Queens,257,4.46,21.5,24.23,6.57,Residential,11
Clinton Hill,Brooklyn,1218,4.55,19.92,24.37,6.62,Residential,11
Bloomfield/Emerson Hill,Staten Island,239,4.67,22.02,23.87,6.3,Residential,11
Bay Terrace/Fort Totten,Queens,162,4.71,22.16,24.36,6.07,Residential,11
Alphabet City,Manhattan,503,4.75,19.85,25.21,10.63,Residential,11
Fresh Meadows,Queens,145,4.79,19.44,26.3,6.84,Residential,11
Charleston/Tottenville,Staten Island,109,4.84,26.76,24.17,10.18,Residential,11
Gowanus,Brooklyn,494,4.89,21.74,24.71,6.12,Residential,11
Park Slope,Brooklyn,2538,4.96,20.42,26.33,6.42,Residential,11
Hamilton Heights,Manhattan,754,5.02,20.33,26.09,6.47,Residential,11
Two Bridges/Seward Park,Manhattan,722,5.12,19.07,28.2,7.86,Residential,11
Washington Heights North,Manhattan,776,5.19,20.13,27.25,6.38,Residential,11
Manhattan Valley,Manhattan,650,5.4,20.61,28.18,7.45,Residential,11
Brooklyn Heights,Brooklyn,1213,5.67,18.54,32.37,6.74,Residential,11
Rossville/Woodrow,Staten Island,73,5.85,20.05,30.77,9.79,Residential,11
Rockaway Park,Queens,146,5.9,26.65,26.79,5.18,Residential,11
Yorkville West,Manhattan,1239,5.96,20.77,30.7,5.99,Residential,11
Yorkville East,Manhattan,980,6.13,21.4,31.0,5.96,Residential,11
Sutton Place/Turtle Bay North,Manhattan,1536,6.23,20.35,32.06,8.11,Residential,11
West Village,Manhattan,1871,6.24,20.04,33.25,10.32,Residential,11
Eltingville/Annadale/Prince's Bay,Staten Island,115,6.36,22.89,32.33,6.45,Residential,11
Greenwich Village South,Manhattan,1365,6.46,20.04,35.04,6.46,Residential,11
Meatpacking/West Village West,Manhattan,1252,6.53,18.88,36.4,10.38,Residential,11
Central Park,Manhattan,507,6.73,20.29,34.5,5.99,Residential,11
Seaport,Manhattan,493,6.77,19.52,36.98,6.25,Residential,11
SoHo,Manhattan,1240,6.81,19.28,37.44,9.46,Residential,11
Lincoln Square East,Manhattan,2056,7.24,20.78,37.48,6.04,Residential,11
Financial District South,Manhattan,671,7.54,18.91,43.1,6.56,Business,11
Battery Park City,Manhattan,1117,7.69,19.11,41.31,6.2,Residential,11
Midtown South,Manhattan,2612,7.7,20.65,39.85,7.78,Residential,11
Garment District,Manhattan,1603,7.84,20.18,41.58,7.51,Residential,11
Midtown Center,Manhattan,3665,8.33,19.71,44.66,6.11,Residential,11
Midtown North,Manhattan,2508,8.46,20.08,44.82,6.08,Residential,11
Great Kills Park,Staten Island,1,12.41,19.39,64.0,5.16,Residential,11
JFK Airport,Queens,4402,13.06,17.41,75.69,23.35,Airport,11
Borough Park,Brooklyn,587,3.34,18.48,19.74,8.02,Residential,6
Rosedale,Queens,139,3.58,19.33,21.51,7.03,Residential,6
Canarsie,Brooklyn,462,3.66,19.39,21.79,7.18,Residential,6
Fordham South,Bronx,115,3.73,20.45,19.62,7.28,Residential,6
Starrett City,Brooklyn,102,3.76,17.98,22.81,7.24,Residential,6
Brighton Beach,Brooklyn,320,3.77,19.55,21.78,7.1,Residential,6
Cypress Hills,Brooklyn,219,3.77,19.52,21.73,6.74,Residential,6
Bedford Park,Bronx,282,3.8,21.72,19.52,6.38,Residential,6
Saint George/New Brighton,Staten Island,306,3.82,21.87,19.7,6.25,Residential,6
Co-Op City,Bronx,414,3.88,19.64,21.46,9.35,Residential,6
East Flatbush/Farragut,Brooklyn,348,3.88,20.73,21.04,6.63,Residential,6
Woodhaven,Queens,300,3.9,19.51,22.08,28.66,Residential,6
Williamsbridge/Olinville,Bronx,258,3.93,20.94,21.68,28.71,Residential,6
Kew Gardens,Queens,445,3.99,20.3,22.08,6.7,Residential,6
Mount Hope,Bronx,270,4.02,22.0,20.36,22.38,Residential,6
Marble Hill,Manhattan,90,4.04,22.2,21.5,6.99,Residential,6
Stapleton,Staten Island,192,4.06,21.86,21.53,23.09,Residential,6
Jamaica,Queens,764,4.06,20.09,22.4,16.04,Residential,6
Parkchester,Bronx,228,4.07,21.46,21.15,6.77,Residential,6
Sheepshead Bay,Brooklyn,494,4.08,20.93,21.27,6.63,Residential,6
Midwood,Brooklyn,497,4.12,18.89,23.52,11.15,Residential,6
West Farms/Bronx River,Bronx,146,4.25,24.85,21.07,6.45,Residential,6
Hillcrest/Pomonok,Queens,278,4.3,20.24,23.94,15.33,Residential,6
Steinway,Queens,1026,4.31,21.52,22.24,9.99,Residential,6
Flushing,Queens,878,4.32,20.65,23.42,6.72,Residential,6
Jamaica Estates,Queens,200,4.36,20.83,23.93,6.39,Residential,6
Gravesend,Brooklyn,198,4.45,22.72,21.76,6.02,Residential,6
Long Island City/Queens Plaza,Queens,463,4.52,20.79,23.57,6.29,Residential,6
Oakland Gardens,Queens,160,4.62,20.31,25.86,7.03,Residential,6
South Beach/Dongan Hills,Staten Island,147,4.65,25.06,20.48,5.65,Residential,6
Bay Ridge,Brooklyn,1306,4.66,23.23,23.5,7.58,Residential,6
East Concourse/Concourse Village,Bronx,300,4.67,20.93,23.97,6.63,Residential,6
Central Harlem North,Manhattan,1138,4.68,20.53,24.46,9.79,Residential,6
Bayside,Queens,381,4.72,21.06,25.22,6.25,Residential,6
Fort Greene,Brooklyn,1290,4.76,19.57,25.96,6.51,Residential,6
Astoria Park,Queens,12,4.8,26.14,19.98,5.31,Residential,6
Heartland Village/Todt Hill,Staten Island,207,4.82,21.52,25.66,6.37,Residential,6
Greenpoint,Brooklyn,2134,4.86,19.92,25.81,6.39,Residential,6
Prospect Heights,Brooklyn,888,4.93,19.87,26.68,6.58,Residential,6
Bellerose,Queens,127,4.98,20.47,29.46,6.93,Residential,6
Inwood,Manhattan,399,4.99,21.43,25.91,6.22,Residential,6
Forest Park/Highland Park,Queens,35,5.02,21.76,25.7,6.16,Residential,6
Whitestone,Queens,244,5.1,21.08,27.53,6.44,Residential,6
Oakwood,Staten Island,95,5.11,22.98,24.96,6.0,Residential,6
Columbia Street,Brooklyn,169,5.11,19.87,26.57,6.25,Residential,6
Great Kills,Staten Island,179,5.12,23.7,26.01,5.96,Residential,6
Cobble Hill,Brooklyn,394,5.21,19.42,27.96,6.4,Residential,6
Carroll Gardens,Brooklyn,634,5.21,20.96,27.38,6.23,Residential,6
Hammels/Arverne,Queens,177,5.22,22.82,28.31,6.35,Residential,6
East Harlem South,Manhattan,1087,5.27,21.28,27.24,14.91,Residential,6
Kips Bay,Manhattan,972,5.28,20.15,28.44,6.34,Residential,6
Douglaston,Queens,151,5.41,21.25,28.86,6.24,Residential,6
Glen Oaks,Queens,151,5.42,18.23,31.48,7.14,Residential,6
Downtown Brooklyn/MetroTech,Brooklyn,1066,5.64,18.84,31.22,6.66,Business,6
Belmont,Bronx,281,5.68,21.41,29.3,6.19,Residential,6
Brooklyn Navy Yard,Brooklyn,196,5.73,20.17,30.11,6.48,Residential,6
DUMBO/Vinegar Hill,Brooklyn,805,5.75,18.15,32.5,6.9,Residential,6
Clinton West,Manhattan,1279,5.88,20.52,30.78,6.17,Residential,6
Lenox Hill East,Manhattan,1304,6.16,21.14,31.82,6.09,Residential,6
West Chelsea/Hudson Yards,Manhattan,2712,6.84,19.65,36.44,7.45,Residential,6
Hudson Sq,Manhattan,942,6.85,19.99,36.51,9.87,Residential,6
Battery Park,Manhattan,53,6.85,20.83,36.01,5.78,Residential,6
Times Sq/Theatre District,Manhattan,4109,8.35,20.56,43.74,7.54,Tourist,6
Randalls Island,Manhattan,32,9.23,23.88,38.68,4.65,Residential,6
Jamaica Bay,Queens,1,3.0,29.76,10.08,3.36,Residential,2
Elmhurst/Maspeth,Queens,313,3.43,20.34,18.74,7.68,Residential,2
Richmond Hill,Queens,419,3.5,20.86,18.69,6.64,Residential,2
Soundview/Bruckner,Bronx,170,3.51,21.54,17.83,13.61,Residential,2
Pelham Bay Park,Bronx,22,3.55,19.3,18.65,6.58,Residential,2
Madison,Brooklyn,364,3.57,21.81,19.0,12.75,Residential,2
Corona,Queens,336,3.57,19.92,19.7,10.67,Residential,2
Crown Heights South,Brooklyn,491,3.64,19.09,20.92,7.25,Residential,2
Westchester Village/Unionport,Bronx,212,3.69,20.45,20.36,6.72,Residential,2
Hollis,Queens,80,3.78,20.28,21.21,6.93,Residential,2
East New York,Brooklyn,566,3.83,21.13,20.34,12.12,Residential,2
Glendale,Queens,363,3.85,20.79,21.04,6.64,Residential,2
Van Cortlandt Village,Bronx,329,3.86,21.71,20.45,6.75,Residential,2
Middle Village,Queens,401,3.87,19.75,21.02,24.59,Residential,2
Auburndale,Queens,166,3.92,21.43,20.13,6.1,Residential,2
Eastchester,Bronx,171,3.93,22.4,20.3,25.15,Residential,2
Bronxdale,Bronx,187,3.95,20.77,21.14,6.83,Residential,2
Howard Beach,Queens,214,3.99,21.02,22.1,6.58,Residential,2
Soundview/Castle Hill,Bronx,341,4.03,22.49,20.96,17.09,Residential,2
Bushwick North,Brooklyn,1340,4.04,21.28,20.79,6.38,Residential,2
Sunset Park East,Brooklyn,402,4.11,20.01,21.84,6.81,Residential,2
Kensington,Brooklyn,395,4.13,20.22,22.24,6.71,Residential,2
Bloomfield/Emerson Hill,Staten Island,253,4.18,22.87,20.99,20.09,Residential,2
Old Astoria,Queens,641,4.19,21.47,21.48,7.27,Residential,2
Pelham Parkway,Bronx,339,4.2,21.06,22.16,6.52,Residential,2
Fresh Meadows,Queens,144,4.22,20.64,22.54,7.36,Residential,2
Hamilton Heights,Manhattan,739,4.26,21.51,21.66,8.58,Residential,2
Far Rockaway,Queens,202,4.26,20.53,24.53,7.22,Residential,2
Manhattanville,Manhattan,363,4.28,20.98,22.19,6.47,Residential,2
Clinton Hill,Brooklyn,1335,4.31,19.61,23.2,6.74,Residential,2
Schuylerville/Edgewater Park,Bronx,384,4.33,23.13,21.42,9.25,Residential,2
Gowanus,Brooklyn,504,4.35,21.09,22.21,6.31,Residential,2
Maspeth,Queens,499,4.4,22.15,22.14,6.21,Residential,2
Grymes Hill/Clifton,Staten Island,108,4.42,22.49,21.74,6.17,Residential,2
Rossville/Woodrow,Staten Island,68,4.47,23.44,20.92,5.42,Residential,2
Park Slope,Brooklyn,2581,4.61,20.89,24.05,6.38,Residential,2
Two Bridges/Seward Park,Manhattan,895,4.77,19.82,25.31,9.26,Residential,2
Alphabet City,Manhattan,579,4.78,20.54,24.98,7.49,Residential,2
Washington Heights North,Manhattan,757,4.88,21.05,25.41,7.13,Residential,2
Manhattan Valley,Manhattan,728,4.96,21.48,25.2,5.98,Residential,2
Eltingville/Annadale/Prince's Bay,Staten Island,99,5.06,23.14,25.88,6.44,Residential,2
Rockaway Park,Queens,123,5.16,28.17,24.14,5.31,Residential,2
Yorkville West,Manhattan,1314,5.28,21.41,26.48,5.89,Residential,2
Yorkville East,Manhattan,961,5.32,21.25,26.79,5.83,Residential,2
Sutton Place/Turtle Bay North,Manhattan,1558,5.36,20.95,27.78,5.99,Residential,2
West Village,Manhattan,2012,5.4,20.69,27.74,6.09,Residential,2
Charleston/Tottenville,Staten Island,99,5.45,23.77,25.35,5.48,Residential,2
Brooklyn Heights,Brooklyn,1240,5.46,20.29,29.03,6.19,Residential,2
Greenwich Village South,Manhattan,1460,5.51,20.29,28.31,6.18,Residential,2
Green-Wood Cemetery,Brooklyn,13,5.62,20.43,29.82,6.63,Residential,2
Meatpacking/West Village West,Manhattan,1392,5.67,20.48,29.38,7.18,Residential,2
Central Park,Manhattan,402,5.71,20.66,28.93,6.02,Residential,2
Bay Terrace/Fort Totten,Queens,170,5.78,23.65,27.2,5.64,Residential,2
SoHo,Manhattan,1254,5.91,19.92,31.39,6.35,Residential,2
Lincoln Square East,Manhattan,1896,6.02,21.31,30.97,7.27,Residential,2
Seaport,Manhattan,534,6.34,19.47,33.92,13.58,Residential,2
Midtown South,Manhattan,2579,6.6,21.36,33.23,6.07,Residential,2
Battery Park City,Manhattan,1210,6.62,19.65,35.62,6.28,Residential,2
Garment District,Manhattan,1566,6.77,21.21,34.98,10.26,Residential,2
Midtown North,Manhattan,2460,6.89,20.68,35.94,6.01,Residential,2
Midtown Center,Manhattan,3663,7.18,20.88,37.12,7.61,Residential,2
Financial District South,Manhattan,614,7.28,20.18,38.01,5.95,Business,2
JFK Airport,Queens,4891,12.75,17.92,72.74,9.28,Airport,2
Hollis,Queens,91,3.34,21.42,18.69,6.53,Residential,5
Soundview/Bruckner,Bronx,142,3.5,19.94,18.72,6.78,Residential,5
Westchester Village/Unionport,Bronx,170,3.59,19.65,19.73,6.79,Residential,5
Corona,Queens,302,3.82,19.63,20.72,32.15,Residential,5
Elmhurst/Maspeth,Queens,312,3.84,21.5,20.0,13.08,Residential,5
Pelham Bay Park,Bronx,38,3.88,22.86,20.74,5.74,Residential,5
Madison,Brooklyn,387,3.88,21.42,20.54,6.27,Residential,5
Eastchester,Bronx,158,3.92,21.79,20.59,13.1,Residential,5
East New York,Brooklyn,593,4.01,22.12,21.08,33.09,Residential,5
Fresh Meadows,Queens,133,4.13,18.39,24.14,7.09,Residential,5
Soundview/Castle Hill,Bronx,319,4.16,21.08,21.65,20.77,Residential,5
Sunset Park East,Brooklyn,343,4.2,19.64,23.62,12.92,Residential,5
Maspeth,Queens,513,4.25,20.5,22.17,6.53,Residential,5
Richmond Hill,Queens,479,4.26,21.35,21.74,10.5,Residential,5
Glendale,Queens,379,4.27,20.9,21.34,6.13,Residential,5
Middle Village,Queens,477,4.33,21.0,21.98,18.79,Residential,5
Bushwick North,Brooklyn,1454,4.42,20.62,22.74,6.35,Residential,5
Van Cortlandt Village,Bronx,325,4.48,21.62,23.39,20.74,Residential,5
Pelham Parkway,Bronx,370,4.5,20.2,23.9,6.73,Residential,5
Grymes Hill/Clifton,Staten Island,94,4.53,22.04,21.74,6.07,Residential,5
Gowanus,Brooklyn,524,4.58,21.4,23.14,6.0,Residential,5
Jamaica Bay,Queens,2,4.62,30.83,16.36,4.1,Residential,5
Bronxdale,Bronx,152,4.64,21.62,23.46,6.56,Residential,5
Far Rockaway,Queens,172,4.7,21.15,27.53,43.69,Residential,5
Crown Heights South,Brooklyn,481,4.73,20.51,25.78,10.02,Residential,5
Kensington,Brooklyn,320,4.75,20.83,24.1,6.28,Residential,5
